0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
"backless inspo #2 😂 ah walay shawl², si father ug si jesus na dapat muadjust 🤷
(nagsabot nami sa bride bahala mo di… https://t.co/8nCwrMnXqS","backless inspo #2 😂 ah walay shawl², si father ug si jesus na dapat muadjust 🤷
(nagsabot nami sa bride bahala mo di… https://t.co/8nCwrMnXqS",0.0,0.0,neutral,0.0,1.0,0.0,0.0
I just remembered a song we used to sing at the assembly every morning in primary school. It went like; “I’m marrie… https://t.co/edV803NHzZ,I just remembered a song we used to sing at the assembly every morning in primary school. It went like; “I’m marrie… https://t.co/edV803NHzZ,0.4,0.5,positive,0.0,0.889,0.111,0.3612
@Jeff19643 Read this out loud and firmly. SATAN I REBUKE YOU AND YOUR SERVANTS BACK TO THE PIT. YOU ARE NOT ALLOWED… https://t.co/yb8PPpyIlH,@Jeff19643 Read this out loud and firmly. SATAN I REBUKE YOU AND YOUR SERVANTS BACK TO THE PIT. YOU ARE NOT ALLOWED… https://t.co/yb8PPpyIlH,-0.03333333333333333,0.4000000000000001,neutral,0.0,1.0,0.0,0.0
no i know how technoblade did it during the potato wars jesus,no i know how technoblade did it during the potato wars jesus,0.0,0.0,negative,0.392,0.608,0.0,-0.7003
@ntvkenya Jesus Christ,@ntvkenya Jesus Christ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@genobabino Name 1 person aside from Christ who is perfect!? Who is without any sin!? I'm not saying we shouldn't t… https://t.co/MQADTiehC8,@genobabino Name 1 person aside from Christ who is perfect!? Who is without any sin!? I'm not saying we shouldn't t… https://t.co/MQADTiehC8,1.0,1.0,neutral,0.0,1.0,0.0,0.0
Boooom dia com Jesus ❤️🕊,Boooom dia com Jesus ❤️🕊,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@Davidmc50660735 @EwenDCameron Jesus Christ you must be the drink and very hard drugs. Cathro FFS I just hope you a… https://t.co/vZHH1K6rSs,@Davidmc50660735 @EwenDCameron Jesus Christ you must be the drink and very hard drugs. Cathro FFS I just hope you a… https://t.co/vZHH1K6rSs,-0.3791666666666667,0.7041666666666666,negative,0.238,0.651,0.111,-0.5149
"If you follow Jesus Christ, if He's Lord of your life, you will not hunger, thirst or lack any good thing in this l… https://t.co/tcTHEmAsvS","If you follow Jesus Christ, if He's Lord of your life, you will not hunger, thirst or lack any good thing in this l… https://t.co/tcTHEmAsvS",0.7,0.6000000000000001,positive,0.079,0.76,0.16,0.327
"7)  invented electromagnetism, frequency and vibration as He wove those principles into the fabric of His Universe(… https://t.co/XCezZ3gTtJ","7)  invented electromagnetism, frequency and vibration as He wove those principles into the fabric of His Universe(… https://t.co/XCezZ3gTtJ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
@AConcernedPare2 Jesus Christ 🙄 At my little one’s preschool trousers were compulsory for all children because they… https://t.co/rMl9dcWEgb,@AConcernedPare2 Jesus Christ 🙄 At my little one’s preschool trousers were compulsory for all children because they… https://t.co/rMl9dcWEgb,-0.1875,0.5,neutral,0.0,1.0,0.0,0.0
"@GaffneyVLC I guess Forster is home grown so that replaces Winks. I’m all for selling the dead wood cheap, we’ve he… https://t.co/3cQxYjyznv","@GaffneyVLC I guess Forster is home grown so that replaces Winks. I’m all for selling the dead wood cheap, we’ve he… https://t.co/3cQxYjyznv",0.1,0.55,negative,0.177,0.823,0.0,-0.6486
AAAAAAAAAAAAAAAA MEU JESUS,AAAAAAAAAAAAAAAA MEU JESUS,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@MoneyBaggYerrrr Lmaooooo Jesus,@MoneyBaggYerrrr Lmaooooo Jesus,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"The purpose of the miracles is to lead the recipients to possess eternal life in Christ Jesus.

#PastorKumuyiSaid","The purpose of the miracles is to lead the recipients to possess eternal life in Christ Jesus.

#PastorKumuyiSaid",0.0,0.0,neutral,0.0,1.0,0.0,0.0
@art29405223 @great0727 @YMMauthor @thompsonb2569 @tjpowell2008 @JohnBenCawley1 @Amadoud75238907 @holybibletoday… https://t.co/hOLJl0hfdB,@art29405223 @great0727 @YMMauthor @thompsonb2569 @tjpowell2008 @JohnBenCawley1 @Amadoud75238907 @holybibletoday… https://t.co/hOLJl0hfdB,0.0,0.0,neutral,0.0,1.0,0.0,0.0
